review_text,actual_stars,predicted_stars,explanation,valid_json,correct
"This was by far the worst restaurant experience I've ever had.  I paid $20.00 for a show and dinner. I received the show only because it was from an outside source. The show was 2 hours long and by the time it was over half the restaurant I'd say 50 to 80 people still had not been served. They didn't have enough menu's for people to even order off of. Some guy in shorts walked around with buckets of silverware wiping them on his shorts then placing them on the table. The show started at 7:00, at 9:30 I still had no food. The people who did get food complained that it was terrible. Maybe I should be happy I didn't get any food. When I asked again about our order the waitress said she would take care of it. The guys in the kitchen were overheard saying ""f---k those people no more orders! not only did we not get the dinner we already paid for they flat out refused to give us dinner or our money back. We ended up at Dennys eating eggs at 11:00 . Seriously I've never had such a bad experience in my life. Can you imagine paying for a dinner then being refused the dinner or a refund? unbelievable",1,1,"The review describes an extremely negative experience with multiple severe issues: failure to serve food, unhygienic practices, rude staff, refusal of refund, and overall poor management. The reviewer explicitly states it's the worst experience they've ever had, with no positive aspects mentioned, indicating intense anger and dissatisfaction.",True,True
"We've been going here for 25 years and I had my first BAD meal recently. A rotten chicken tamale, the corn meal might have had rancid fat in it or the chicken was rotten, either way it was stinky. The wait staff didn't seem outraged and shrugged it off as though this has happened before.  I may go back here in another year, but Rosita's Place is off limits for me now.",1,2,"The reviewer has a long history of positive experiences over 25 years, but the recent incident with rotten food (chicken tamale) and the wait staff's indifferent response have caused strong dissatisfaction. The negative aspects dominate the review, leading to a decision to avoid the restaurant for now, though the mention of possibly returning in the future prevents a 1-star rating.",True,False
"I am DONE with Classic Car Spa, their sub-par car washes, and their shady business partnerships.  

Whatever you do, DO NOT get your windshield replaced by the Auto Glass Shop that Classic Car Spa allows on their premises. I am holding Classic Car Spa accountable for placing their customers in such close proximity to criminals. 

While these Auto Glass Shop men are friendly and seem helpful, it is a scam. They replaced my windshield (and hey, it cost me nothing b/c my insurance covers it) and put the glass in wrong THREE TIMES! After one week and many HOURS on the phone with them and my insurance company, they are still giving me the run around. So although it was free, I will now have to foot the bill for fixing their crappy craftsmanship. 

After trying in vain to get my windshield fixed by the Auto Glass Shop, I spoke with the manager of Classic Car Spa. I don't think I've ever met a manager with a more relaxed, ""who cares?"" attitude. That place is a joke. Except, I'm not laughing....",1,1,"The review expresses extreme dissatisfaction with Classic Car Spa and the Auto Glass Shop, using strong negative language such as 'shady business partnerships,' 'criminals,' 'scam,' and 'crappy craftsmanship.' The user describes multiple failures in service, unhelpful management, and a complete lack of resolution, indicating intense anger and frustration. There are no significant positive aspects to offset the negativity, warranting a 1-star rating.",True,True
"It is what you would expect from any themed place called ""Heart Attack Grill"".  Mirrors on the bottom part of the bar so you can see up the skimpy outfits the ""nurses"" wear at the bar.  Van in the drive through section is painted to look like an Ambulance.  Hamburgers are named after cardiac events.

The food was bad, greasy unlimited fries and a giant hamburger that tasted as if they mixed in filler of some kind we had never experienced before.

If you plan on going, enjoy the experience cause the food will not be something you would head back for again.",1,2,"The review acknowledges the entertaining theme and experience but strongly criticizes the food quality, describing it as bad, greasy, and with an unusual filler. The user explicitly states they would not return for the food, indicating that the negative aspects outweigh the positive ones.",True,False
"I went today to meet my daughter for lunch.  We are both big sushi enthusiasts.  The interior and atmosphere was beautiful.  Well appointed.
The service was excellent.  We ordered edamame, was good...nothing to rave about.  Not much you can do to mess that up.  Drinks were well poured but exspensive for what you got.  Ordered five different sushi rolls.
All five were bland, not much flavor and stale.  The fish was not fresh.
Paid $12 for a soft shell crap roll and it tasted days old.  Will not go back.
Did here they have good pizza and a happy hour at three.  My daughter says to give it another try.  We'll see... I'll let you know if I do.",1,2,"The review has positive comments on the interior, atmosphere, and service, but the core experience with the sushi was highly negative—described as bland, stale, and not fresh. The reviewer explicitly states they will not return, and the value for money was poor, outweighing the few positives.",True,False
"First off, the restaurant is dim and dark.. I thought the decor was a little off because they were going for a tropical Vietnam theme with banana trees in there and a waterfall fountain. The waiter there did not have a smile and didn't seem freindly, it looked like this was the last place he wanted to be at. The service sucked ass. I mean come on, there was only two tables including mines and 3.9/4 of the time, he didn't check up on us or refilled our water and we had to walk up to ask for our bill.. like seriously...? Are you that lazy. Bun Bo Hue was skimpy on the meat and had little veggies on the side. Pho had a rancid smell. Noodles in my sister's bun thit nuong were hard and watery (seemed like they were super old) Overall, I wouldn't recommend to ANYBODY.",1,1,"The review is overwhelmingly negative, with no positive aspects mentioned. Criticisms include poor ambiance (dim and dark, off-putting decor), unfriendly and negligent service (waiter not smiling, avoiding check-ups, having to ask for the bill), and multiple food quality issues (skimpy meat, rancid smell, hard and watery noodles). The strong language (e.g., 'service sucked ass,' 'wouldn't recommend to ANYBODY') indicates extreme dissatisfaction and anger, aligning with a 1-star rating.",True,True
"The theater itself I have no problem with. Its the fact that we came out of the theater to a broken out driver passenger window, my doors unlocked and some Dumb Ass broke into my car and didn't even take anything. Really?? 
I should've known better given the area but it was the only Harkins showing the movie we wanted to see. Security was nice enough to leave a note on my window.Can you believe there's No Cameras in the parking lot at all!! Ugh!!! Disappointed customer to say the least. Will not be back there that's for sure.",1,1,"The review expresses extreme anger and disappointment due to a car break-in and lack of security measures (e.g., no cameras in the parking lot), despite a minor positive note about the theater itself. The customer explicitly states they will not return, reflecting an intensely negative sentiment.",True,True
"Closed... GONE UNDER, OUTTA HERE.. See ya later, bye bye..",1,1,"The review uses negative language such as 'CLOSED... GONE UNDER' and 'OUTTA HERE' to indicate the business has failed, with a dismissive and sarcastic tone. There are no positive aspects, and the intensity of the negativity suggests extreme dissatisfaction, aligning with a 1-star rating.",True,True
"DO NOT GO HERE.  One of the worst restaurant experiences I have ever had.  The setup is a little like ""Pei Wei"" where they take your order, give you a number, and bring the food to your table.  Placed our order, and had to stalk other tables and hover over people eating trying to wait to get a table.  Waited a long time, all the while others who ordered after us found seats and got their food before us. Servers kept bringing my food to me since it was ready, but I still didn't have a table, so they kept saying they would ""put it under the heat lamp"" for me.  Finally eventually found a table, and then kept waiting and waiting for our food, which the manager claimed ""he had them remake"" since it was getting cold.  My food came, and it was cold and disgusting.  We had to get going since we were going to a show, and my mom's food still wasn't there.  The staff asked to see her receipt, since they couldn't find her order.  She went up to the manager and said she just wanted her money back since we had to go (it had been 45 minutes since we placed our order).  He said her food would not be ready for a while, and gave her some cash, and we left.  My mom never even ate, and my food was horrible.  I would NOT recommend this place, it's awful.",1,1,"The review describes an extremely negative experience with multiple severe issues: long wait times, poor service, cold and disgusting food, and a complete lack of positive aspects. The language used ('DO NOT GO HERE,' 'worst restaurant experiences,' 'awful') indicates high anger and frustration, aligning with a 1-star rating.",True,True
"really, I can't believe this place has received such high reviews from people.

my lady and i walked in, and were greeted rather rudely by a pretentious bitch at the front with a monotone ""name please?"", instead of a warm, friendly, french welcome to this rather charming looking place. we didn't have a reservation, which from the looks of how dead empty the place was, didn't seem like a problem. until the hostess whisked through her reservation list and explained she'd try to ""fit us in"". it was 6pm, the place had one other couple dining, and we were informed that the next party was arriving at 7:30. we weren't really looking to hang out. it would have be awfully lovely if yelpers would have informed of the need to MAKE RESERVATIONS before going in here, because if you don't, you're automatically a piece of shit according to the staff. sorry, i don't plan very much ahead. next time i will, and it won't be here.

anyways, after debating for a minute or two with herself, the hostess decided we could ""squeeze in"" and sat us right on top of the other couple inside the restaurant. she informed us that we could cork our own wine, for their low low price of 9 fucking dollars. in words only office space could adequately describe,""coup des tartes, what is it exactly that you do?"". 

the food was good, nothing spectacular for $25+ a plate. we got a salad with apples and nuts and bleu cheese, which was served warm. now this is the first warm salad i've had all of my life, and by no means am i some sort of wordly food expert, but i believe salad should be cold and crisp. not soggy and warm. yuck. the cordon bleu was tasty and filling, however, the wobbly table was an extreme annoyance when cutting through the chicken, but it was solved (with no thanks to the staff) by placing a jack-in-the-box gift card under the leg. i will admit, the mashed potatoes are some of the creamiest and best i've ever had. my lady got the pork tenderloin, which had a strange peppery-sweet pairing which i didn't particularly care for. we were broke for desert, so unfortunately we didn't get to try any tarts. you would think for a place that promotes itself as being so poise would get some fancier menus, other than a $.15 piece of cardstock copied in bulk at kinkos.

this place was rather disappointing. i honestly thought it would be way more comfy and welcoming inside but it really wasn't. it presents itself as being so high class and french and oh-la-la wee wee, but when it comes down to it, it's still located in a tiny shack of a house at 16th street and highland. maybe if it were located in the biltmore i'd give it a bit more cred.",1,2,"The review expresses strong dissatisfaction with the service, describing the hostess as rude and pretentious, and criticizing the high corkage fee and seating arrangement. The food received mixed feedback: the salad was disliked for being warm and soggy, while the cordon bleu and mashed potatoes were praised. However, the overall tone is negative, with complaints about the atmosphere, value, and presentation, outweighing the few positive aspects.",True,False
"One word to describe Over Easy: disappointing. 

It would've been an OK breakfast place if it wasn't for all the hype. I've been trying to visit this place since I found out it was on Diners, Drive-ins and Dives, so when I saw the deal on Doozy of a Deal, I purchased it right away. I made my own omelette with chicken, garlic, and spinach. The chicken was overcooked and the omelette and my hash browns were terribly greasy. My cousin ordered The Wolfpack and was also disappointed with her meal. It just didn't seem up to par with a place that was on Food Network.

The icing on the cake was the Over Easy Ice, their iced coffee. They could've given me a cup of water and cardamom and it wouldn't have tasted any different. We couldn't wait to get to the car to get some gum, to get the taste out of our mouths and even that didn't help. After reading other people's reviews, it looks like they hardly had any caradmom; so looks like Over Easy needs to figure out a way to uniformly make their coffee.

Sorry Over Easy, you were quite disappointing.",1,1,"The review is overwhelmingly negative, with no positive aspects mentioned. The customer describes the food as disappointing, citing overcooked chicken, greasy omelette and hash browns, and a terrible iced coffee experience. The language used, such as 'disappointing' multiple times and the inability to remove the taste, indicates high intensity of dissatisfaction, aligning with an extremely negative rating.",True,True
"beware of the hidden  65 cent surcharge per person for tea even if you don't drink tea?  really.

The crazy thing is, i'm sure no one even notices the extra cost because who checks the bill?

When I mentioned it to the cashier, she was stuttering and stammering and started to back pedal and said  ""oh, is this your 1st time?  we can remove it from the bill""

I said forget it, keep it.

i usually tip 20-30% but i'll just let them keep their meager 65 per charge.

  yeah, really worth losing a customer for?

my 4 year old daughter even gets the gratuitus tea party charge and she only drinks water.

gone are the $2.15 per item flat rate (can you say bait and switch?)

$2.35 PER so now they're no different from the rest of the dim sum places.

as sneaky as C-FOO trying to strong arm the 15% gratuity (which failed miserably and lost us and about 100 of our friends as customers)

so in a down economy, you're supposed to raise your prices and sneak in stealthy surcharges?

it's the chinese way i guess

back to china king for us.  sorry china king for being disloyal with having a brief and sordid affair with the palace.

will you forgive us? haha",1,1,"The review is overwhelmingly negative, focusing on hidden surcharges, unprofessional staff behavior, price increases perceived as deceptive, and loss of customer loyalty. The reviewer expresses anger and frustration, explicitly stating they will return to a competitor and warning others. There are no genuine positive aspects; any minor gestures (like the offer to remove the charge) are dismissed and framed negatively. The intensity of criticism and intent to switch businesses aligns with an extremely negative sentiment.",True,True
"The food was not particularly good on our last visit there and the service was rude and not helpful at all.  I even emailed them afterwards to give feedback, in hopes that they would redeem themselves by showing some good service that way.  No luck.  Didn't even get a response.

They will not be getting any more of my business.  Too bad because I'd actually had a decent mushroom burger there before and would have been a regular customer.  But the service last time was so bad that I won't go back.",1,1,"The review expresses extreme dissatisfaction due to poor food quality, rude and unhelpful service, and no response to feedback. The mention of a past positive experience is overshadowed by the severe issues on the last visit, leading to a firm decision not to return, which aligns with an angry, 1-star sentiment.",True,True
"I was really excited to try this restaurant, and tonight my husband and I came and ordered food to take-out. The service was very friendly and the store was clean, cute, and colorful...but the food was very disappointing. My husband ordered the curry chicken, and although it tasted okay, he literally almost choked on tiny bones in the meat 4 or 5 times. I asked ahead of time if they used white meat and was told yes, but the ""Calypso Pasta"" I ordered had tiny, tiny pieces of dark meat jerk chicken...instead of the boneless white strips I was expecting, and really it was just mediocre. I'm bummed I wanted to like this place.",1,2,"The review highlights positive aspects like friendly service and a clean, cute store, but the core experience was marred by very disappointing food quality, including bones in the curry chicken and incorrect meat type in the pasta, leading to a feeling of being bummed. The serious issues with food outweigh the positives, resulting in a mostly negative sentiment.",True,False
I really don't get why everyone is raving this place.  I've been here twice and ordered the carne asada burrito.  The portions are really small for the price that they charge.  There is too much tortilla for the meat.  I think this place is overrated and that there are better places for carne asada in the valley.,1,1,"The review is entirely negative, with no positive aspects mentioned. The user expresses strong dissatisfaction with portion sizes, value for money, food quality, and explicitly calls the place overrated, indicating extreme disappointment.",True,True
"Normally have had great service & food here, but on Father's Day, Nicole H was simply horrible.  Rude, slow, non-helpful, etc.  Just a total fail.  

A different food-deliverer brought out food and ""auctioned it off"" (didn't know who got what), and I asked for a refill on my empty water glass, but he didn't bring it after 15 minutes, and Nicole didn't notice, so I had to bring it up to her.

Their bloody Mary's taste just like tomato juice with tobasco.  Nothing special at all.  And for $12???!?!?!??!?!  SHAME.

The coq au vin was great.

WHY IS THERE NO ""CONTACT US""/e-mail address ON THEIR WEBSITE?????",1,2,"The review highlights past positive experiences and one good dish (coq au vin), but the majority of the content focuses on a specific negative incident with rude service, slow refills, poor drink quality, and website complaints, indicating mostly negative sentiment with few positives.",True,False
"No, I simply cannot put in a good review for Miracle Mile. 
A coworker recommended this place to me. Actually, two coworkers did.
However, upon inspection of my pie right before I was about to eat it, I noticed that there was mold in it.

Yes, mold.

Sorry Miracle Mile, your fries were bland and while your chicken tenders were decent, I can't forgive mold in a pie. I did take a picture of it so I will be adding it to this review as soon as I can.

Who knows if I will get my 2.95 for moldy pie back.

*ETA
MM has been notified and I am to receive a gift certificate for my 2.95. I was given the option of returning it but it's over a 40 min drive.",1,1,"The review is extremely negative due to the discovery of mold in the pie, which is a severe food safety issue. While the chicken tenders were decent and the fries were bland, these minor positives are completely overshadowed by the mold incident. The tone is angry and disappointed, and the resolution with a gift certificate does not mitigate the initial serious complaint.",True,True
"Terrible food, terrible service.

I ordered chicken fried rice. The waiter brings me a bowl and says, ""chicken fried rice, right?"" I look into the bowl and it's a bowl of brown rice. This must be a joke. I tell him that's wrong, and next me brings me a bowl of rice, seemingly fried?, with vegetables and no chicken. I bring that back to the counter and say my order had chicken in it, bringing my receipt along. So finally, they bring me a bowl of chicken fried rice.

Or at least their version of it.

I didn't think it was possible to actually screw up something as simple as chicken fried rice. The rice itself was cheap long grain rice. It was inedible due to the how stale/hard it was. Like absolutely no water absorption. And the rice was all covered in something that made it very wet and practically slimy. Disgusting. I have no idea how people can eat this.

Oh, and that server who brought me the brown rice and claimed it was fried rice tried to bring lettuce wraps to the table next to me saying it was their salad. There's a nice picture on the wall which shows you what the salad is supposed to look like, and it's not lettuce wraps.

The best thing about my meal was the fountain drink, which cost $1.85. The Circle K in the same plaza has bigger cups for 99 cents.",1,1,"The review is extremely negative, with strong complaints about terrible food (inedible, stale, slimy rice) and poor service (multiple order errors). The only minor positive (fountain drink) is downplayed by comparison to a cheaper alternative, reinforcing the overall dissatisfaction.",True,True
"Never Again,
I brought my Mountain Bike in (which I bought 1 week earlier from Walmart) to have them replace my flat inner tubes with puncture resistant tubes.)  I came back 20 minutes later when they said it would be done and as I rode away, the back tire rhythmically rubbed against the back brake.  When I returned and told them about it, I was told the back wheel was not true.  It was true for the whole short week since I purchased it from Walmart.  I plan to take it to their competitor (Landis) and pay the extra $15-$25) to have the wheel put back to the straight condition it was in when I brought it to Slippery Pig in the first place.   I would never give a shop another penny for an extra service I should never have needed on a brand new bike which coasted perfectly when I brought it in.",1,1,"The review expresses extreme dissatisfaction and anger towards Slippery Pig Bike Shop. The customer highlights multiple negative aspects: the service introduced a problem (tire rubbing against brake), the shop incorrectly blamed the wheel not being true on a brand new bike, and the customer feels cheated into paying for unnecessary service. There are no positive comments, and the language used ('Never Again,' 'never give another penny') indicates high sentiment intensity, aligning with a 1-star rating.",True,True
"I wish I could give this location a big fat ZERO.

But you can't.  But I can let everyone know how horrible it is.

For starters, their automatic doors do not even work.  I just find that appalling.  How can your doors not work on your store?  How are people supposed to get in there to shop.

The manager of this location is nothing more than a jerk.  I asked for help and all I received was attitude.

For a struggling supermarket that filed for bankruptcy, I would think service would be one thing you could promote at no cost.  But, not here.

I don't think it will be long before this location closes.  RIP!",1,1,"The review is overwhelmingly negative, with no positive aspects mentioned. The customer expresses extreme dissatisfaction through strong language, citing broken automatic doors, rude management, poor service, and an expectation of closure. This aligns with a 1-star rating for extremely negative and angry sentiment.",True,True
"How does this restaurant generate so many 4 and 5 star ratings? 

I know it was on the food channel, but honestly the food was sub-par. Maybe it was just an off day, but I have a feeling it wasn't. The prices were not outrageous, but it wasn't cheap either. The atmosphere was nice, if very cafeteria like.

But the food was way way too ""greasy."" And bland. And my stomach now aches after eating there....",1,1,"The review is overwhelmingly negative, with severe criticisms of the food being sub-par, greasy, bland, and causing stomach discomfort. The only minor positive about the atmosphere is insufficient to offset the core issues, leading to an extremely negative sentiment.",True,True
"This was my second visit to Arriba's and believe me, it wasn't my choice. I spent the first 26 years of my life in Southern New Mexico and I miss the food like CRAZY, especially green chile. When you walk into Arriba's it's New Mexico this and New Mexico that and the dishes are named after cities and landmarks in the state.

When we told the waitress that in New Mexico green chile sauce doesn't have pork in it she said, ""Well, we say that but it's not *really* New Mexican"" and walked off. What?!?!

The first time there we mentioned this to a Manager and got the same exact reaction. I also asked if I could get a side of plain green chile and was told no. Both times we were being super nice and just trying to start a friendly conversation, had these interactions been better this review wouldn't be here.

I'm far from being a vegetarian, I don't eat pork or beef because I don't like it. Also, I didn't ask about the red chile sauce because I'm not a fan, maybe it's porkless and amazing but I can't speak for that...

I ordered the Santa Fe Chicken salad.  Iceberg lettuce, slimy greens, cooked onions and bell peppers, mushy tomatoes, half melted greasy cheese clumps and very dry chicken piled on a shell... yuck. 

If it wasn't for the delicious fresh chips, guacamole and two 99cent happy hour margaritas I would've been VERY unhappy.  I definitely won't ever be back and this time I mean it.",1,2,"The review is overwhelmingly negative due to dismissive service, inauthentic food (e.g., pork in green chile), and a poorly executed main dish described as 'yuck.' However, it acknowledges positive aspects like delicious chips, guacamole, and margaritas, which prevent it from being a 1-star rating. The overall sentiment is mostly negative with minor positives.",True,False
"I had the misfortune of stopping by this establishment today with two things, a skirt and a cloth handbag. I asked the woman at the counter if I could have some very minor stitching done on a cloth purse. She looked it over for about 3 seconds and said 'Oh no I don't see how this could be repaired'. (what I wanted sewn were two little pom poms attached to the cloth strap that were loose and I wanted them to be stitched on there tighter). Not a difficult task. She then told me that she could maybe 'send it out' and have it stitched but it would take a week or more to get it back. WHAT??!
I then asked her about  the skirt which I wanted cleaned and/or pressed with the tags attached (because I'm selling it). She said no that the tags would be destroyed in the process. 
So I went to another dry cleaners and asked the same things for both the skirt and the bag. I was informed that what I wanted done would be no problem and that I could pick it up the next day.",1,1,"The review is extremely negative, with the customer expressing frustration over the refusal of simple repairs and cleaning services, and highlighting the establishment's incompetence compared to a competitor. There are no positive aspects mentioned, and the tone is angry and dissatisfied.",True,True
"I have been here once for lunch and sat outside only to get eaten alive by flies, nothing worse than eating outside on a nice patio and being pestered the entire time. 

I decided to give it another chance for happy hour, well guess what? flies followed me inside too. 

I don't know if it was the time of year (early spring) or what, but they really need an exterminator!",1,1,"The review is overwhelmingly negative, focusing on a severe fly infestation that ruined both outdoor and indoor experiences. The customer uses strong language like 'eaten alive' and 'pestered the entire time,' indicating high frustration and anger. There are no positive aspects mentioned, and the overall sentiment is intensely negative, warranting the lowest rating.",True,True
"I am leaving this store angry and can't resist writing a review! 

The staff is incredibly useless....if you can actually find someone to help you. The store is huge with very little signs to guide you. Therefore I always wander aimlessly looking for the one simple thing I stopped in for (even though I tell myself I will never go back) with no one to help me. 

Today they were out of an item I bought last week and need more of to finish my project. I asked the only 100 year old lady I could find to check the back and she told me they have nothing in back and to ask customer service. The lady at customer service was actually a reasonable age and when I asked her to call the Indian Bend store she handed me their number and said ""well you can call them"". I stormed out soooo mad and this time I promise to never go back. Hobby Lobby or Michaels is worth the drive!!!",1,1,"The review expresses extreme anger and frustration with the store's staff, signage, and service, with no positive aspects mentioned. The customer explicitly states they will never return and recommends competitors, indicating highly negative sentiment.",True,True
